title,link,author,journal,website,abstract,referenced
Ferromagnetic and antiferromagnetic Curie temperatures,https://journals.aps.org/pr/abstract/10.1103/PhysRev.100.685,"HA Brown, JM Luttinger","Physical Review, 1955",APS,"… The methods of calculating Curie temperatures used by Opechowski and Weiss are
extended to higher spin values. Using the former, Curie temperatures are found for the face-centered…",182
Mapping Curie temperature depth in the western United States with a fractal model for crustal magnetization,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009JB006494,"C Bouligand, JMG Glen…","Journal of Geophysical …, 2009",Wiley Online Library,"… Curie temperature isotherm from magnetic anomalies in an attempt to provide a measure of
crustal temperatures … is assumed to correspond to the temperature at which rocks lose their …",182
Curie temperature and lattice constant of oxidized titanomagnetite,https://academic.oup.com/gji/article-abstract/74/2/585/630842,"T Nishitani, M Kono","Geophysical Journal International, 1983",academic.oup.com,"… Lattice constants and Curie temperatures are sensitive to … Curie temperature is about * 2
- 5C inlow z values and k 10 - 15C in high z values. Lattice constants and Curie temperatures …",124
Curie temperatures of zinc-blende half-metallic ferromagnets,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.67.220403,J Kübler,"Physical Review B, 2003",APS,"… The orders of magnitude are the same as the Curie temperature of the half-metallic … gap;
its Curie temperature might be as high as 1000 K. The Curie temperature drops sharply when …",124
Rhombohedral–tetragonal phase boundary with high Curie temperature in (1-x) BiCoO3–xBiFeO3 solid solution,https://iopscience.iop.org/article/10.1143/JJAP.47.7579/meta,"M Azuma, S Niitaka, N Hayashi, K Oka…","Japanese journal of …, 2008",iopscience.iop.org,"The crystal structure change of the solid solution BiCo 1-x Fe x O 3 was investigated in order
to determine the phase boundary between tetragonal BiCoO 3 and rhombohedral BiFeO 3. …",91
Magnetic and electronic properties of double perovskites and estimation of their Curie temperatures by ab initio calculations,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.78.134431,"TK Mandal, C Felser, M Greenblatt, J Kübler","Physical Review B, 2008",APS,"… To emphasize the observed trends we included the Curie temperatures for Ca2B B O6 which,
how… and magnetic structures as well as trends in the Curie temperatures of several Heusler …",106
High Curie temperatures in ferromagnetic Cr-doped AlN thin films,https://aip.scitation.org/doi/abs/10.1063/1.1763216,"D Kumar, J Antifakos, MG Blamire…","Applied physics …, 2004",aip.scitation.org,"… We show that the Curie temperature of … temperatures indicate that the Curie temperature of
Cr-doped AlN is higher than 900 K. The most immediate application for high temperature ferro…",153
Ferromagnetic order at Tb surfaces above the bulk Curie temperature,https://aip.scitation.org/doi/abs/10.1063/1.340679,"C Rau, C Jin, M Robert","Journal of applied physics, 1988",aip.scitation.org,"… temperature, the ESP first decreases montonically up to the bulk Neel temperature T/lib = …
= 238 K, and ultimately vanishes at the surface Curie temperature T Cs = 248 K. These striking …",103
Curie temperature anomaly in lead zirconate titanate/silver composites,https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/j.1151-2916.1998.tb02394.x,"HJ Hwang, T Nagai, T Ohji, M Sando…","Journal of the …, 1998",Wiley Online Library,"… to decrease the Curie temperature, PZT/silver composites exhibited higher Curie temperatures
than those of monolithic PZT ceramics. It was found that the Curie temperature gradually …",100
Mn‐Rich MnSb2Te4: A Topological Insulator with Magnetic Gap Closing at High Curie Temperatures of 45–50 K,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202102935,"S Wimmer, J Sánchez‐Barriga, P Küppers…","Advanced …, 2021",Wiley Online Library,"… i) Ferromagnetic hysteresis with record Curie temperature of … bandgap closing at the Curie
temperature, demonstrated by … nearly doubles the Curie temperature. Remaining deviations …",49
High-permeability and high-Curie temperature NiCuZn ferrite,https://www.sciencedirect.com/science/article/pii/S0304885304006134,"H Su, H Zhang, X Tang, X Xiang","Journal of magnetism and magnetic …, 2004",Elsevier,"… It is found that the Curie temperature decreases steadily with enhancement of CuO content.
… From these results, we attribute the Curie temperature decline to a decrease in the exchange …",101
Crystal growth and characterization of new high Curie temperature (1− x) BiScO3–xPbTiO3 single crystals,https://www.sciencedirect.com/science/article/pii/S0022024801020930,"S Zhang, L Lebrun, S Rhee, RE Eitel, CA Randall…","Journal of Crystal …, 2002",Elsevier,"… by a conventional high-temperature solution method using a Pb 3 … temperature was
determined to be 400–550, decreasing to about 300 after the poling process. The Curie temperature …",114
Ab initio theory of exchange interactions and the Curie temperature of bulk Gd,https://iopscience.iop.org/article/10.1088/0953-8984/15/17/327/meta,"I Turek, J Kudrnovský, G Bihlmayer…","Journal of Physics …, 2003",iopscience.iop.org,"… pair interactions are presented and the Curie temperature in the mean-field … Curie
temperature on the c/a ratio, which bears important consequences for the critical temperatures …",103
"Exchange interactions and curie temperature in (Ga, Mn) As",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.66.134435,"LM Sandratskii, P Bruno","Physical Review B, 2002",APS,"… Curie temperature on the Mn concentration. We estimate the dependence of the Curie
temperature … band leads to a fast decrease of the Curie temperature. We show that the hole states …",124
Size and shape effects on Curie temperature of ferromagnetic nanoparticles,https://www.sciencedirect.com/science/article/pii/S1003632607602933,"L Cao, XIE Dan, M Guo, HS Park, T Fujita","Transactions of Nonferrous …, 2007",Elsevier,"… the Curie temperature variation … Curie temperature and cohesive energy, the temperature
variations for freestanding ferromagnetic nanoparticles were described. The Curie temperature …",50
Anomalous thickness dependence of Curie temperature in air-stable two-dimensional ferromagnetic 1T-CrTe2 grown by chemical vapor deposition,https://www.nature.com/articles/s41467-021-21072-z,"L Meng, Z Zhou, M Xu, S Yang, K Si, L Liu…","Nature …, 2021",nature.com,"… Monotonic increase of Curie temperature with the thickness decreasing from ~130.0 to ~7.6
nm is observed. Theoretical calculations indicate that the weakening of the Coulomb …",97
"Growth and properties of high-Curie-temperature
thin films",https://aip.scitation.org/doi/abs/10.1063/1.1769085,"H Asano, N Kozuka, A Tsuzuki, M Matsui","Applied physics letters, 2004",aip.scitation.org,"… is strongly reduced at room temperature due to their low Curie temperatures below 370 K .
It … Curie temperature is around 620 K , which is slightly lower than the Curie temperature of …",71
Giant piezoelectricity and high Curie temperature in nanostructured alkali niobate lead-free piezoceramics through phase coexistence,https://pubs.acs.org/doi/abs/10.1021/jacs.6b09024,"B Wu, H Wu, J Wu, D Xiao, J Zhu…","Journal of the American …, 2016",ACS Publications,"Because of growing environmental concerns, the development of lead-free piezoelectric
materials with enhanced properties has become of great interest. Here, we report a giant …",300
Realization of magnetostructural coupling by modifying structural transitions in MnNiSi-CoNiGe system with a wide Curie-temperature window,https://www.nature.com/articles/srep23386,"J Liu, Y Gong, G Xu, G Peng, IA Shah, F Xu","Scientific reports, 2016",nature.com,"… phase with decreasing temperature 20 . Moreover, it is reported that if T t lies in the Curie-temperature
window (CTW), which is the range between Curie temperatures of the hexagonal …",52
Study of the Curie temperature of cobalt ferrite based composites for stress sensor applications,https://ieeexplore.ieee.org/abstract/document/1233383/,"JA Paulsen, CCH Lo, JE Snyder…","IEEE transactions on …, 2003",ieeexplore.ieee.org,"… It was also found that the Curie temperature of the material … room temperature
magnetomechanical hysteresis through control of the Curie temperature, thereby altering the …",75
Depth to Curie temperature across the central Red Sea from magnetic data using the de-fractal method,https://www.sciencedirect.com/science/article/pii/S004019511400208X,"A Salem, C Green, D Ravat, KH Singh, P East…","Tectonophysics, 2014",Elsevier,"… Thus Curie isotherm depths estimated from magnetic data may well be imaging the depth to
… Curie temperature along the whole profile. Geotherms constrained by the interpreted Curie …",92
"Curie-temperature"" Slater-Pauling curve""",https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1988/08/jphyscol198849C823/jphyscol198849C823.html,"Y Kakehashi, O Hosohata","Le Journal de …, 1988",jphyscol.journaldephysique.org,"… -temperature theory of the local environment effect. The peculiarity of the Curie temperatures
… for the systematic variations of the finite-temperature properties. This is because the simple …",19
Magnetic anisotropy and Curie temperature of two-dimensional VI3 monolayer,https://iopscience.iop.org/article/10.1088/1361-648X/ab7c14/meta,"F Subhan, J Hong","Journal of Physics: Condensed Matter, 2020",iopscience.iop.org,"… For calculating the Curie temperature (T c ), we estimated the temperature dependent
magnetization curve based on the Metropolis Monte Carlo (MC) simulations using the VAMPIRE …",34
Size effects on Curie temperature of ferroelectric particles,https://link.springer.com/article/10.1007/s00339-002-1959-6,"Q Jiang, XF Cui, M Zhao","Applied Physics A, 2004",Springer,"… the size dependence of the Curie temperature. A quantitative model for … Curie transition of
a ferroelectric is also a first-order phase transition, finite-size effects on the Curie temperature …",64
Effects of microstructure and composition on the Curie temperature of lead barium niobate solid solutions,https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/j.1151-2916.1996.tb08100.x,"T Hiroshima, K Tanaka, T Kimura","Journal of the American …, 1996",Wiley Online Library,"… Curie temperatures than dense samples. Dense samples with fine grains had higher Curie
temperatures … and the Curie temperature revealed that the variation in Curie temperature was …",93
Proximity‐coupling‐induced significant enhancement of coercive field and Curie temperature in 2D van der Waals heterostructures,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202002032,"L Zhang, X Huang, H Dai, M Wang, H Cheng…","Advanced …, 2020",Wiley Online Library,"… Curie temperature (T C ), and relatively better stability, is a promising candidate for achieving
permanent room-temperature … low temperatures, it is therefore crucial to increase the Curie …",55
